Price,Close,High,Low,Open,Volume
Ticker,BKNG,BKNG,BKNG,BKNG,BKNG
Date,,,,,
2020-07-06,1685.3341064453125,1719.203796434271,1661.9992624890203,1687.737758747751,440800
2020-07-07,1639.5247802734375,1678.973486520385,1636.765035980487,1663.1762296020074,267100
2020-07-08,1643.3331298828125,1647.942645157961,1615.5864416391062,1644.0255111000731,332500
2020-07-09,1652.2161865234375,1661.5342332728876,1609.8790141825878,1653.818661622079,406600
2020-07-10,1688.9346923828125,1690.3195756962027,1635.1031948626123,1642.7199927111903,323400
2020-07-13,1668.517822265625,1720.766524656109,1666.786748389045,1702.2787136142988,400600
2020-07-14,1677.88525390625,1685.1360572392505,1634.816100348852,1650.643060355231,261100
2020-07-15,1779.8802490234375,1783.2336009365115,1726.1675715997533,1728.1063357175854,646800
2020-07-16,1727.898681640625,1754.3197770547874,1711.9530226385903,1748.0977641279248,251700
2020-07-17,1713.45654296875,1738.1169815421836,1700.4488550289352,1738.1169815421836,368700
2020-07-20,1695.1170654296875,1729.0955493577142,1682.0301659178997,1705.3650085434163,308300
2020-07-21,1693.197998046875,1743.606953125849,1685.1856228435279,1717.136350046543,382600
2020-07-22,1701.9326171875,1709.6283857060835,1663.0674949044546,1699.3804422795436,367500
2020-07-23,1677.123779296875,1710.6274747685713,1673.8496393116695,1702.6646069343699,263800
2020-07-24,1682.900634765625,1690.7547063867855,1653.887758919129,1660.1196732597,324900
2020-07-27,1684.4139404296875,1693.366113459919,1652.93812517142,1672.3558325929653,223900
2020-07-28,1663.5621337890625,1684.424014890045,1659.1504066394841,1677.9943113849886,210600
2020-07-29,1689.0732421875,1705.7508892525918,1658.8139816429643,1670.5952105373062,311300
2020-07-30,1669.4873046875,1680.8332291692357,1639.2380668270443,1665.5899732282664,205400
2020-07-31,1644.1544189453125,1673.9486726589541,1608.0293557337213,1669.6160366064657,305200
2020-08-03,1632.3927001953125,1651.830210255664,1617.0108246227135,1647.8932731419388,201300
2020-08-04,1657.0135498046875,1661.8308761454134,1617.6637397216423,1623.252659377752,240200
2020-08-05,1706.11669921875,1715.6722605065488,1665.1842174705416,1681.7431653651647,314400
2020-08-06,1732.8447265625,1746.881206156373,1682.336873852307,1683.5931583374818,451100
2020-08-07,1735.5054931640625,1801.7511917905338,1723.1604821641029,1793.788324010179,566000
2020-08-10,1749.4530029296875,1766.575855579946,1712.3289765759973,1740.965837939781,357100
2020-08-11,1785.578125,1827.4405089859483,1780.5432062981715,1798.6057371500724,476000
2020-08-12,1788.515869140625,1808.2303815177575,1785.9737165373692,1796.6569640280097,274200
2020-08-13,1773.5792236328125,1804.2538640024975,1769.6521876687175,1779.603447980906,220200
2020-08-14,1759.6317138671875,1767.891385395384,1749.1463758388709,1760.749497872809,262500
2020-08-17,1733.96240234375,1773.0055095620296,1731.0739383594102,1773.0055095620296,244500
2020-08-18,1759.6712646484375,1772.6196635368926,1725.2673785825725,1731.0738901727468,238900
2020-08-19,1748.3551025390625,1787.5466145725886,1741.282404346271,1763.7270788888331,311600
2020-08-20,1749.5616455078125,1755.7539535715616,1727.1269962274373,1732.953310653239,245900
2020-08-21,1760.1263427734375,1765.7449674509492,1735.6935183231344,1743.9333869992583,270400
2020-08-24,1814.6007080078125,1817.8452642072555,1777.5062657127276,1784.054787179352,362400
2020-08-25,1833.7513427734375,1838.1927741060829,1796.765698279991,1816.1636031365192,313200
2020-08-26,1846.7789306640625,1863.5950778511892,1815.1646125923087,1818.9136628699534,394400
2020-08-27,1873.02197265625,1904.0428026671582,1853.9999626474203,1872.1118789010984,398900
2020-08-28,1924.21240234375,1934.4603459507805,1874.733342095706,1875.6434358986985,320800
2020-08-31,1889.7886962890625,1915.5570174026157,1887.49383990176,1901.678720953355,321200
