Price,Close,High,Low,Open,Volume
Ticker,YUM,YUM,YUM,YUM,YUM
Date,,,,,
2020-01-02,92.6524887084961,92.67062950972469,91.41917713511441,91.50079690326609,1369900
2020-01-03,92.3623046875,92.50740343283398,91.01110548535006,91.97236045777619,1145500
2020-01-06,92.30789184570312,92.31696224653899,91.64589095845736,91.98142660249817,1454100
2020-01-07,92.47113037109375,92.7159758597852,92.08118613451913,92.27162305209896,1388600
2020-01-08,92.63436889648438,93.3870531319633,90.99297207040426,91.11086654023201,1521500
2020-01-09,93.3689193725586,94.330174495553,92.86108752172231,93.01524977377045,1790100
2020-01-10,92.21722412109375,93.3054371692195,92.08119576040558,93.16034532485799,1462400
2020-01-13,90.99295806884766,92.55273487436769,90.9385495026467,92.26254432348175,1569700
2020-01-14,91.33757019042969,91.56428178962409,90.6030268230203,90.8569427071278,2024400
2020-01-15,91.80912780761719,92.30789609622738,91.36477500783927,91.4645286655613,1607100
2020-01-16,92.64344787597656,92.77946932500299,91.8907635708095,92.09027092096849,1191800
2020-01-17,95.58160400390625,95.77204090184425,93.5593336556703,93.62281262164964,4060400
2020-01-21,95.76297760009766,95.7901818848642,94.77451835390563,94.928680580042,3494300
2020-01-22,96.57008361816406,97.03257727887598,96.0531813804354,96.13480116465038,2020800
2020-01-23,96.10759735107422,96.19828061944688,95.32770878942758,95.95342818428182,2128600
2020-01-24,95.20074462890625,96.30709150089271,94.41178571620554,96.20733783657344,2268800
2020-01-27,94.66570281982422,95.01030198904293,93.06965108915269,93.96743407941828,1833500
2020-01-28,95.05562591552734,95.30047136464478,94.60220277971226,94.98307655331182,1672500
2020-01-29,96.69702911376953,96.86026174247066,94.96495608798043,95.12818871668156,1401800
2020-01-30,96.66983795166016,96.71518304527842,95.01030715436615,95.64510387157239,1480000
2020-01-31,95.91716003417969,96.86935171375117,95.53628612982723,96.65171047107697,2117400
2020-02-03,96.4975357055664,96.89654344563928,95.4455904847164,95.95342229136705,1671000
2020-02-04,96.76959228515625,96.88747984320494,95.99877411919796,96.82400086291872,1595500
2020-02-05,96.83306121826172,97.59481582134828,95.88087661276506,97.41344238314232,1814400
2020-02-06,94.07624053955078,94.39363538549179,91.69123707583549,92.49832979209495,3271600
2020-02-07,92.53459167480469,93.06056415741682,91.36475918845194,92.28067583318166,2396800
2020-02-10,93.28730010986328,93.6046949948791,92.54368627124497,92.77946137514837,1667800
2020-02-11,94.35735321044922,94.59312824932252,93.26006318124482,93.52304941877674,2234400
2020-02-12,95.52719116210938,95.7629731502782,94.13065387193426,94.81985211629147,1784200
2020-02-13,95.67295837402344,96.24683661480499,95.06264981767589,95.31770372482426,1135100
2020-02-14,95.90068054199219,96.30148348709344,95.30858717755554,95.65473770276019,1249700
2020-02-18,94.76203918457031,95.81869893438211,94.35213214868992,95.80047682851797,1934600
2020-02-19,95.8187026977539,96.17395732938911,94.93511817046212,95.14462374824832,1875400
2020-02-20,94.61628723144531,95.80957790246609,93.05863092776049,95.52719783825724,1216300
2020-02-21,94.28836059570312,94.63450413078388,93.78735697283946,94.32479785461108,1015100
2020-02-24,91.31879425048828,93.49587018587081,91.20037836581992,92.79447203104041,1539100
2020-02-25,89.22368621826172,92.32078349991788,88.84110545250608,91.75602340276318,2389000
2020-02-26,88.81381225585938,90.55365540103462,88.7864860409632,89.54254375168433,3382500
2020-02-27,84.41409301757812,88.07595792846249,84.3958778614197,87.25613690739158,3850300
2020-02-28,81.29878997802734,83.55785184984971,79.75934848171093,82.56495545084094,4238900
2020-03-02,84.28656768798828,84.30478979419244,81.26234437994137,81.29878164265244,2408900
2020-03-03,83.1752700805664,86.2450422425834,81.98197905379797,84.28658246413632,2430900
2020-03-04,86.19947814941406,86.43631688037989,82.85643750528084,84.2774559916814,2420200
2020-03-05,82.81998443603516,84.55982689923813,81.91818494944975,84.25011370251741,2171600
2020-03-06,81.4354248046875,81.88176913923328,79.2765637626067,80.32411254546525,2564200
2020-03-09,76.24321746826172,79.51339026598477,75.60558280281542,76.79887351230633,3776600
2020-03-10,79.04884338378906,79.26746004445313,75.96996717635108,78.41120856114456,3464100
2020-03-11,73.75643920898438,76.60758714853736,72.29898350425596,76.43451884433951,2783100
2020-03-12,71.46094512939453,75.00438736968482,67.96305120621031,68.84663574036706,5272000
2020-03-13,71.47006225585938,74.92241510499558,69.10169550874137,74.49428590672963,3754400
