Price,Close,High,Low,Open,Volume,Ticker
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,AMZN
2020-01-02,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,AMZN
2020-01-03,93.74849700927734,94.30999755859375,93.2249984741211,93.2249984741211,75288000,AMZN
2020-01-06,95.14399719238281,95.18450164794922,93.0,93.0,81236000,AMZN
2020-01-07,95.34300231933594,95.69450378417969,94.60199737548828,95.2249984741211,80898000,AMZN
2020-01-08,94.59850311279297,95.55000305175781,94.3219985961914,94.9020004272461,70160000,AMZN
2020-01-09,95.05249786376953,95.89099884033203,94.79000091552734,95.49449920654297,63346000,AMZN
2020-01-10,94.15799713134766,95.34700012207031,94.0,95.26850128173828,57074000,AMZN
2020-01-13,94.56500244140625,94.9000015258789,94.04000091552734,94.56549835205078,55616000,AMZN
2020-01-14,93.47200012207031,94.35549926757812,92.92749786376953,94.29399871826172,68818000,AMZN
2020-01-15,93.10099792480469,93.94300079345703,92.75450134277344,93.61250305175781,57932000,AMZN
2020-01-16,93.89700317382812,94.27950286865234,93.3010025024414,94.14949798583984,53190000,AMZN
2020-01-17,93.23600006103516,94.33200073242188,92.86250305175781,94.29450225830078,79946000,AMZN
2020-01-21,94.5999984741211,94.7135009765625,93.0,93.25,74156000,AMZN
2020-01-22,94.37300109863281,95.125,94.16699981689453,94.80449676513672,64326000,AMZN
2020-01-23,94.22899627685547,94.4990005493164,93.63800048828125,94.25550079345703,49692000,AMZN
2020-01-24,93.08200073242188,94.74949645996094,92.37200164794922,94.56849670410156,75324000,AMZN
2020-01-27,91.41699981689453,92.05000305175781,90.76699829101562,91.0,70570000,AMZN
2020-01-28,92.6624984741211,92.90550231933594,91.5009994506836,92.0250015258789,56160000,AMZN
2020-01-29,92.9000015258789,93.73750305175781,92.7509994506836,93.19999694824219,41760000,AMZN
2020-01-30,93.53399658203125,93.64350128173828,92.53050231933594,92.9000015258789,126548000,AMZN
2020-01-31,100.43599700927734,102.78600311279297,100.1135025024414,102.57350158691406,311346000,AMZN
2020-02-03,100.20999908447266,102.42500305175781,100.01249694824219,100.52999877929688,117834000,AMZN
2020-02-04,102.4834976196289,102.98999786376953,100.76850128173828,101.49400329589844,105786000,AMZN
2020-02-05,101.99349975585938,103.5510025024414,101.5999984741211,103.5510025024414,87524000,AMZN
2020-02-06,102.5114974975586,102.81500244140625,101.23999786376953,102.0510025024414,63660000,AMZN
2020-02-07,103.96399688720703,104.92649841308594,101.90499877929688,102.09950256347656,101906000,AMZN
2020-02-10,106.69550323486328,106.77999877929688,104.24800109863281,104.25050354003906,101124000,AMZN
2020-02-11,107.54000091552734,109.29750061035156,106.80000305175781,107.54499816894531,114920000,AMZN
2020-02-12,108.0,109.01249694824219,107.7645034790039,108.16000366210938,66686000,AMZN
2020-02-13,107.49349975585938,108.51399993896484,107.0999984741211,107.24949645996094,60636000,AMZN
2020-02-14,106.74349975585938,107.9520034790039,106.29450225830078,107.78399658203125,52124000,AMZN
2020-02-18,107.78350067138672,108.30349731445312,106.20549774169922,106.2509994506836,58912000,AMZN
2020-02-19,108.51100158691406,109.25499725341797,108.05599975585938,108.38999938964844,51224000,AMZN
2020-02-20,107.65499877929688,108.8395004272461,106.37249755859375,108.65350341796875,62626000,AMZN
2020-02-21,104.79850006103516,107.22750091552734,104.4000015258789,107.10749816894531,92926000,AMZN
