Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2020-01-02,110.0912094116211,112.56251491683902,109.38387530309483,112.4228043048298,5149800
2020-01-03,108.94723510742188,109.61963815220926,108.22243226132409,108.85991098844217,5018500
2020-01-06,107.91680145263672,108.85118357684632,107.60242927417335,108.25737020223812,4226900
2020-01-07,108.10891723632812,108.65906521088353,107.41031092308647,107.41031092308647,3641600
2020-01-08,107.75963592529297,109.37515585696678,107.70723611061477,108.32725283707158,5731600
2020-01-09,107.84693908691406,109.07823122505037,107.11340844816328,107.84693908691406,5369700
2020-01-10,108.92105865478516,109.76811009397535,108.32724520868614,108.90358983032094,4678000
2020-01-13,108.17005920410156,108.8773933602775,107.34919767601284,108.79879697492214,3632800
2020-01-14,109.38388061523438,109.7331838118371,107.79455739997607,107.93427468117457,3291900
2020-01-15,102.17079162597656,104.26660406873383,100.91330282784138,102.59868452885152,26743400
2020-01-16,101.57696533203125,102.45021985058806,101.14907248341133,102.2930337707517,9361600
2020-01-17,102.1009292602539,102.86066318324495,101.4459882908353,101.72542950462442,7303800
2020-01-21,99.58596801757812,101.87389775830438,99.39385091522034,101.87389775830438,8188000
2020-01-22,99.46369171142578,100.49413231722968,99.35016435925884,99.67327093191376,5070600
2020-01-23,100.88707733154297,100.92200830618835,98.76506892425236,99.1405685736874,4641500
2020-01-24,99.83045196533203,101.29751975937776,99.2366386519706,101.29751975937776,4338900
2020-01-27,101.10539245605469,101.48089211117123,98.30224665677162,98.63408092732023,6779200
2020-01-28,100.80850219726562,101.69921886097978,100.79976778674204,101.42851209637705,3865100
2020-01-29,99.78678894042969,101.36738411834885,99.7693267818596,101.10540510297572,5250600
2020-01-30,100.13610076904297,100.17103175161958,98.58170868760386,99.35017031707834,4466400
2020-01-31,96.70420837402344,99.36763745428615,96.381108449876,99.03580311904177,6961900
2020-02-03,98.24984741210938,99.03577764861582,96.93123149654868,97.05348657084946,5186000
2020-02-04,98.89607238769531,100.24961953125195,98.85240699761809,99.2366411106077,3626000
2020-02-05,100.88707733154297,101.21018385021104,99.4200097084482,99.5597336070297,3636700
2020-02-06,100.54653930664062,101.62937320112181,100.21470493995884,101.2888044225156,4024800
2020-02-07,100.95694732666016,100.99187830408937,99.95270337837891,100.44172373758256,2970800
2020-02-10,102.15332794189453,102.38036934519201,100.94823230751314,100.94823230751314,3862000
2020-02-11,101.90007019042969,102.29303205221714,100.52906088582475,102.23190450344124,3065100
2020-02-12,103.14010620117188,103.69898863852612,101.70796912265108,101.87388963644207,3764800
2020-02-13,103.28853607177734,103.48065311823447,102.53753670602832,102.90430197886312,2654900
2020-02-14,101.8476791381836,103.44573661654029,101.5595101905747,103.30601934836685,3289100
2020-02-18,103.4811782836914,103.51630806224416,102.18140327852,102.70833655617105,3122500
2020-02-19,103.09475708007812,103.74464123036141,102.79616401384423,103.35822706819519,2866700
2020-02-20,103.85882568359375,103.88517134513133,102.37462421398219,102.72591533523189,2659300
2020-02-21,102.76101684570312,104.40329183271628,102.57659056535871,103.48116043099421,3856500
2020-02-24,99.92435455322266,101.86522935062443,99.3447300297188,100.53911555124596,5304900
2020-02-25,98.1152114868164,101.12752084651056,98.03616782240228,100.28442639456806,5095900
2020-02-26,97.18431091308594,98.98466683125199,96.85936548770604,98.51920899241063,4318300
2020-02-27,92.75807189941406,96.06019111676824,92.68781233300541,95.1819666376232,6713400
2020-02-28,90.45709228515625,91.51095864136062,88.47230372397519,89.7632943655328,9174100
